coinNumber,coinType,coinName,beginningYear,endingYear,imageURL,,,,,,,
101,Half Cent,"Liberty Cap, facing left",1793,1793,images/half-cent.jpg,,,,,,,
102,Half Cent,"Liberty Cap, facing right",1794,1797,images/liberty-cap-cent.jpg,,,,,,,
103,Half Cent,Draped Bust,1800,1808,images/draped-bust-cent.jpg,,,,,,,
104,Half Cent,Classic Head,1809,1836,images/classic-head-cent.jpg,,,,,,,
105,Half Cent,Braided Hair,1840,1857,images/braided-hair-cent.jpg,,,,,,,
106,Large Cent (Penny),"Flowing Hair cents, chain reverse",1793,1793,images/flowing-hair-chain-cent-obv.jpg,,,,,,,
107,Large Cent (Penny),"Flowing Hair cents, wreath reverse (1793)",1793,1793,images/flowing-hair-chain-cent-obv.jpg,,,,,,,
108,Large Cent (Penny),Liberty Cap cents,1794,1796,images/liberty-cap-cent.jpg,,,,,,,
109,Large Cent (Penny),Draped Bust cents,1796,1807,images/draped-bust-cent.jpg,,,,,,,
110,Large Cent (Penny),Classic Head cents,1808,1814,images/classic-head-cent.jpg,,,,,,,
111,Large Cent (Penny),"Coronet cents, Matron Head",1815,1839,images/coronet-matron-cent.jpg,,,, ,,,
112,Large Cent (Penny),"Coronet cents, Braided Hair",1839,1857,images/braided-hair-cent.jpg,,,,,,,
113,Small Cent (Pennies),Flying Eagle Cent,1856,1858,images/flying-eagle-cent.jpg,,,,,,,
114,Small Cent (Pennies),Indian Had Cent,1859,1909,images/indian-head-cent.jpg,,,,,,,
115,Small Cent (Pennies),Lincoln Cent (Wheat),1909,1958,images/lincoln-cent-wheat.jpg,,,,,,,
116,Small Cent (Pennies),Lincoln Cent (Memorial),1959,2008,images/lincoln-cent-memorial.jpg,,,,,,,
117,Small Cent (Pennies),Lincoln Cent (Bicentennieal),2009,2009,images/lincoln-bicentennial.jpg,,,,,,,
118,Small Cent (Pennies),Linocln Cent (Union Shield),2010,Present,images/lincoln-cent-shield.jpg,,,,,,,
119,Two cent,Two-cent Piece,1864,1872,images/two-cent-obv.jpg,,,,,,,
120,Three Cent,Three-cent Piece,1851,1873,images/three-cent.jpg,,,,,,,
121,Three Cent,Three-cent Nickel,1865,1889,images/three-cent-nickel.jpg,,,,,,,
122,Five Cent,Silver Half Dime Flowing hair,1794,1795,images/half-dime.jpg,,,,,,,
123,Five Cent,Half Dime Draped Bust,1796,1797,images/half-dime-draped.jpg,,,,,,,
124,Five Cent,Half Dime Draped Bust v2,1800,1805,images/draped-bust-half-dime.jpg,,,,,,,
125,Five Cent,Half Dime Capped Bust,1829,1837,images/half-dime-capped-bust.jpg,,,,,,,
126,Five Cent,Half Dime Seated Liberty,1837,1873,images/half-dime-seated-liberty.jpg,,,,,,,
127,Five Cent,Shield Nickel,1866,1883,images/shield-nickel.jpg,,,,,,,
128,Five Cent,"Liberty Head or ""V"" Nickel",1883,1913,images/liberty_head-nickel.jpg,,,,,,,
129,Five Cent,Buffalo or Indian Head,1913,1938,images/buffalo.jpg,,,,,,,
130,Five Cent,Jefferson,1938,Present,images/jefferson.jpg,,,,,,,
131,Ten Cent,Disme,1792,1792,images/disme.jpg,,,,,,,
132,Ten Cent,Draped Bust Dime,1796,1807,images/draped-bust-dime.jpg,,,,,,,
133,Ten Cent,Capped Bust,1809,1837,images/capped-bust-dime.jpg,,,,,,,
134,Ten Cent,Seated Liberty,1837,1891,images/seated-liberty-dime.jpg,,,,,,,
135,Ten Cent,Barber Dime,1892,1916,images/barber-dime.jpg,,,,,,,
136,Ten Cent,Mercury Dime,1916,1945,images/mercury.jpg,,,,,,,
137,Ten Cent,Roosevelt,1945,Present,images/roosevelt.jpg,,,,,,,
138,Twenty Cent,Twenty-cent Piece,1875,1878,images/twenty-cent.jpg,,,,,,,
139,Quarter,Draped Bust,1796,1807,images/draped-bust-quarter.jpg,,,,,,,
140,Quarter,Capped Bust,1815,1838,images/capped-bust-quarter.jpg,,,,,,,
141,Quarter,Seated Liberty,1838,1891,images/seated-liberty-quarter.jpg,,,,,,,
142,Quarter,Barber Quarter,1892,1916,images/barber-quarter.jpg,,,,,,,
143,Quarter,Standing Liberty,1916,1930,images/standing-liberty-quarter.jpg,,,,,,,
144,Quarter,Washington* (Many reverses since 1999),1932,1998,images/quarter.jpg,,,,,,,
145,Half Dollar,Flowing Hair,1794,1795,images/flowing-hair-half.jpg,,,,,,,
146,Half Dollar,Draped Bust,1796,1807,images/draped-bust-half-dollar.jpg,,,,,,,
147,Half Dollar,Capped Bust,1807,1839,images/capped-bust-half.jpg,,,,,,,
148,Half Dollar,Seated Liberty,1839,1891,images/seated-liberty-half.jpg,,,,,,,
149,Half Dollar,Barber,1892,1915,images/barber-half.jpg,,,,,,,
150,Half Dollar,Walking Liberty,1916,1947,images/walking-liberty-half.jpg,,,,,,,
151,Half Dollar,Franklin,1948,1963,images/franklin-half.jpg,,,,,,,
152,Half Dollar,Kennedy,1964,Present,images/kennedy-half.jpg,,,,,,,
153,Dollar,Flowing hair,1794,1795,images/flowing-hair-dollar.jpg,,,,,,,
154,Dollar,Draped Bust,1795,1803,images/draped-bust-dollar.jpg,,,,,,,
155,Dollar,Seated Liberty,1836,1873,images/seated-liberty-dollar.jpg,,,,,,,
156,Dollar,Gold Dollar,1849,1889,images/gold-dollar.jpg,,,,,,,
157,Dollar,Trade Dollar,1873,1885,images/trade-dollar.jpg,,,,,,,
158,Dollar,Morgan Dollar,1878,1904,images/morgan-dollar.jpg,,,,,,,
159,Dollar,Morgan Dollar,1921,1921,images/morgan-dollar.jpg,,,,,,,
160,Dollar,Peace Dollar,1921,1928,images/peace-dollar.jpg,,,,,,,
161,Dollar,Peace Dollar,1934,1935,images/peace-dollar.jpg,,,,,,,
162,Dollar,Eisenhower Dollar,1971,1978,images/eisenhower-dollar.jpg,,,,,,,
163,Dollar,Susan B. Anthony Dollar,1979,1981,images/sba.jpg,,,,,,,
164,Dollar,Susan B. Anthony Dollar,1999,1999,images/sba.jpg,,,,,,,
165,Dollar,Sacagawea Dollar,2000,Present,images/sacagawea-dollar.jpg,,,,,,,
166,Dollar,Presidential Dollar Coins,2007,2016,images/presidential-dollar.jpg,,,,,,,
167,Dollar,Presidential Dollar Coins,2020,2020,images/presidential-dollar.jpg,,,,,,,
168,Quarter Eagle,Turban Head Quarter Eagle,1796,1796,images/quarter-eagle.jpg,,,,,,,
169,Quarter Eagle,Capped Bust Quarter Eagle,1796,1834,images/capped-bust-quarter-eagle.jpg,,,,,,,
170,Quarter Eagle,Classic Head,1834,1839,images/classic-head.jpg,,,,,,,
171,Quarter Eagle,Liberty Head,1840,1907,images/liberty-head.jpg,,,,,,,
172,Quarter Eagle,Indian Head,1908,1929,images/indian-head.jpg,,,,,,,
173,Three-dollar piece,Three-dollar piece,1854,1889,images/three-dollar.jpg,,,,,,,
174,Half Eagle,Capped Bust Right,1795,1798,images/turban-half-eagle.jpg,,,,,,,
175,Half Eagle,Capped Bust Left,1807,1834,images/capped-bust-left.jpg,,,,,,,
176,Half Eagle,Classic Head,1834,1387,images/classic-head-half-eagle.jpg,,,,,,,
177,Half Eagle,Liberty Head,1839,1908,images/liberty-head-half-eagle.jpg,,,,,,,
178,Half Eagle,Indian Head,1908,1929,images/indian-head-half-eagle.jpg,,,,,,,
179,Eagle,Turban Head,1795,1804,images/eagle.jpg,,,,,,,
180,Eagle,Liberty Head,1838,1907,images/eagle-liberty-head.jpg,,,,,,,
181,Eagle,Indian Head,1907,1933,images/eagle-indian-head.jpg,,,,,,,
182,Double Eagle,Liberty Head,1849,1907,images/double-liberty.jpg,,,,,,,
183,Double Eagle,Saint-Gaudins,1907,1933,images/saint-gaudins.jpg,,,,,,,
